aa	aa
ab	ab
ae	ae
af	afrikánsagiella
ak	ak
sq	albánagiella
am	am
en-US	amerihkálaš eaŋgalsgiella
an	aragoniagiella
ar	arábagiella
hy	armenagiella
as	as
av	av
ay	ay
az	az
ba	ba
bn	bengalagiella
bi	bi
bm	bm
bs	bosniagiella
br	bretonagiella
en-GB	brihttalaš eaŋgalsgiella
bg	bulgáriagiella
my	burmagiella
ce	ce
ch	ch
co	corsicagiella
cr	cr
cu	cu
cv	cv
cs	čeahkagiella
se	davvisámegiella
da	dánskkagiella
no	dárogiella
dv	divehigiella
de	duiskkagiella
tr	durkagiella
dz	dzongkhagiella
en	eaŋgalsgiella
ee	ee
eo	eo
et	esttegiella
eu	eu
fo	fearagiella
ff	ff
fj	fižigiella
fr	fránskkagiella
gd	gd
ka	georgiagiella
nb	girjedárogiella
gl	gl
gn	gn
el	greikkagiella
gu	gujaratagiella
ht	haitigiella
ha	haussagiella
he	he
hi	hindigiella
ho	ho
nl	hollánddagiella
hz	hz
ia	ia
ie	ie
ig	ig
ii	ii
ga	iirragiella
ik	ik
id	indonesiagiella
io	io
is	islánddagiella
it	itáliagiella
iu	iu
ja	japánagiella
jv	javagiella
km	kambožagiella
ca	katalánagiella
kk	kazakhgiella
kg	kg
ki	ki
zh	kiinnágiella
kj	kj
kl	kl
kn	kn
kv	komigiella
ko	koreagiella
kw	kornagiella
kr	kr
hr	kroátiagiella
ks	ks
ku	kurdigiella
ky	ky
cy	kymragiella
lo	laogiella
la	láhtengiella
lv	látviagiella
lg	lg
li	li
lt	liettuvagiella
ln	ln
lu	lu
lb	luxemburggagiella
mk	makedoniagiella
mt	maltagiella
gv	manksgiella
mi	maorigiella
mg	mg
mh	mh
ml	ml
mn	mongoliagiella
mr	mr
ms	ms
na	na
nd	nd
ne	nepalagiella
ng	ng
nr	nr
nv	nv
ny	ny
fy	oarjifriisagiella
nn	ođđadárogiella
oj	oj
oc	oksitánagiella
om	om
or	or
os	os
pa	panjabagiella
fa	persijagiella
pi	pi
pl	polskkagiella
pt	portugálagiella
ps	ps
qu	qu
rn	rn
rm	romanšgiella
ro	romániagiella
ru	ruoššagiella
sv	ruoŧagiella
rw	rw
sa	sa
sm	samoagiella
sc	sardigiella
sd	sd
sr	serbiagiella
sh	serbokroatiagiella
sg	sg
si	si
sk	slovákiagiella
sl	slovenagiella
sn	sn
so	so
es	spánskkagiella
ss	ss
st	st
su	su
fi	suomagiella
sw	sw
ta	ta
ty	tahitigiella
te	te
tg	tg
th	thaigiella
ti	ti
bo	tibetagiella
tk	tk
tl	tl
tn	tn
to	to
ts	ts
tt	tt
tw	tw
ug	ug
uk	ukrainagiella
hu	ungárgiella
ur	urdugiella
uz	uz
wa	vallonagiella
ve	ve
vi	vietnamagiella
be	vilgesruoššagiella
vo	vo
wo	wo
xh	xh
yi	yi
yo	yo
za	za
zu	zu
